Metric,Value
timing__setup_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:max_ff_n40C_1v95,54.404079
timing__setup_r2r_vio__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count__corner:max_ff_n40C_1v95,13
timing__unannotated_net_filtered__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count,13
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:VPWR__corner:nom_tt_025C_1v80,1.71464
design_powergrid__drop__average__net:VPWR__corner:nom_tt_025C_1v80,1.7938
design_powergrid__drop__worst__net:VPWR__corner:nom_tt_025C_1v80,0.0853559
design_powergrid__voltage__worst__net:VGND__corner:nom_tt_025C_1v80,0.0797647
design_powergrid__drop__average__net:VGND__corner:nom_tt_025C_1v80,0.00582429
design_powergrid__drop__worst__net:VGND__corner:nom_tt_025C_1v80,0.0797647
design_powergrid__voltage__worst,0.0797647
design_powergrid__voltage__worst__net:VPWR,1.71464
design_powergrid__drop__worst,0.0853559
design_powergrid__drop__worst__net:VPWR,0.0853559
design_powergrid__voltage__worst__net:VGND,0.0797647
design_powergrid__drop__worst__net:VGND,0.0797647
ir__voltage__worst,1.70999999999999996447286321199499070644378662109375
ir__drop__avg,0.006199999999999999782118731417313028941862285137176513671875
ir__drop__worst,0.0854000000000000036859404417555197142064571380615234375
design__xor_difference__count,0
magic__drc_error__count,0
klayout__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
